Matricula,Nome,Serie,Turma,Portugues,Matematica,Historia,Geografia,Biologia,Fisica,Quimica,Ingles,Educacao_Fisica,Media_Geral
2024001,Ana Beatriz Silva,1º Ano,A,8.5,7.0,9.0,8.0,7.5,6.5,7.0,8.5,9.0,7.9
2024002,Bruno Henrique Costa,1º Ano,A,6.0,8.5,7.0,6.5,8.0,9.0,8.5,7.0,8.0,7.6
2024003,Carla Fernanda Oliveira,1º Ano,A,9.0,6.5,8.5,9.0,7.0,5.5,6.0,9.5,7.5,7.6
2024004,Diego Rafael Santos,1º Ano,B,5.5,7.5,6.0,5.0,6.5,7.0,6.0,5.5,8.5,6.4
2024005,Eduarda Lima Pereira,1º Ano,B,8.0,8.0,8.5,8.0,8.5,7.5,8.0,8.0,9.0,8.2
2024006,Felipe Augusto Rocha,1º Ano,B,7.0,9.5,6.5,7.0,7.5,9.0,9.5,6.5,8.0,7.8
2024007,Gabriela Souza Alves,1º Ano,C,9.5,7.5,9.0,9.5,8.0,7.0,7.5,9.0,8.5,8.4
2024008,Henrique Martins Dias,1º Ano,C,4.5,5.0,5.5,4.0,5.0,4.5,5.5,6.0,7.0,5.2
2024009,Isabela Cristina Nunes,1º Ano,C,8.5,8.0,8.0,8.5,9.0,8.0,8.5,8.5,9.5,8.5
2024010,João Pedro Ferreira,1º Ano,C,7.5,6.0,7.0,7.5,6.5,6.0,6.5,7.0,8.0,6.9
2024011,Larissa Mendes Carvalho,2º Ano,A,9.0,8.5,9.5,9.0,8.5,8.0,8.0,9.0,9.0,8.7
2024012,Marcos Vinícius Barbosa,2º Ano,A,6.5,9.0,6.0,6.5,7.0,9.5,9.0,6.0,7.5,7.4
2024013,Natália Ribeiro Gomes,2º Ano,A,8.0,7.0,8.5,8.0,8.0,6.5,7.0,8.5,8.0,7.7
2024014,Otávio César Pinto,2º Ano,B,5.0,6.5,5.5,5.0,6.0,7.0,6.5,5.5,7.5,6.1
2024015,Patrícia Almeida Torres,2º Ano,B,9.5,9.0,9.0,9.5,9.0,8.5,9.0,9.5,9.0,9.1
2024016,Rafael da Silva Moreira,2º Ano,B,7.0,7.5,7.0,6.5,7.5,7.0,7.5,7.0,8.5,7.3
2024017,Sofia Helena Campos,2º Ano,C,8.5,6.5,9.0,8.5,8.0,6.0,6.5,9.0,8.0,7.8
